Kategori,Baslik,Sikayet_Metni,Link
Kargo,"Kargom Teslim Edilmedi, Bilgilendirme Yapılmadı Ve Mağdur Edildim","10 Ekim’de Bayrampaşa şubesinden Of Sürat Nakliyat şubesine, oradan da Dernekpazarı’nda bulunan İpek Market’e teslim edilmek üzere bir kargo gönderdim. Takip numaramı verdiğim halde, kargonun 10 Ekim’de Of şubesine teslim edildiği söylendi ancak defalarca İpek Market’e gitmeme rağmen kargo hiçbir zaman ulaşmadı. Ayrıca, bu süreçte ne bana gönderici olarak ne de alıcıya herhangi bir bilgilendirme mesajı gönderilmedi.Konu ile ilgili Sürat Kargomüşteri hizmetleriyle görüştüm, bana kargonun teslim edildiğini söylediler fakat İpek Market’e böyle bir kargo ulaşmadı ve kimse teslim almadı. İçinde yüklü bir parça olan bu gönderi için 450 TL kargo ücreti ödedim ve mağduriyet yaşıyorum.Kargomun bulunup asıl alıcıya teslim edilmesini talep ediyorum.",https://www.sikayetvar.com/surat-kargo/kargom-teslim-edilmedi-bilgilendirme-yapilmadi-ve-magdur-edildim-1
Kargo,"Kargom Teslim Edilmiyor, Bilgi Alamıyorum!","6 Ekim’de Horoz Nakliyat aracılığıyla gönderilen, 9812652500 takip numaralı kargom halen tarafıma teslim edilmedi. Teslimat adresim Mardin/Artuklu olmasına rağmen, aradan uzun bir süre geçmesine rağmen kargomun ne zaman elime ulaşacağı konusunda herhangi bir bilgi alamıyorum.Bu süreçte Horoz Nakliyat müşteri hizmetleriyle iletişime geçtim ancak teslimat tarihiyle ilgili net bir bilgi verilmedi. Gönderici tarafından ödemesi yapılan bu kargonun acilen tarafıma teslim edilmesini talep ediyorum.Mağduriyetimin giderilmesini ve kargomun bir an önce teslim edilmesini rica ediyorum.",https://www.sikayetvar.com/horoz-lojistik/kargom-teslim-edilmiyor-bilgi-alamiyorum-2
Kargo,Yaşlı Ve Engelli Müşterilere Kargo Teslimatında Büyük Mağduriyet,"8 Ekim tarihinde Diyarbakır’dan akrabamız C**** G**** tarafından gönderilen ve içinde kışlık gıda maddeleri ile kuru bakliyat bulunan 5201*******96 takip numaralı kargomuzun teslimatı sırasında büyük bir mağduriyet yaşadık. Kargomuz Ulukent şubesinden dağıtıma çıkarıldı ancak görevli, 75 yaşındaki ve yürüme problemi olan anneme “aşağı inin, öyle teslim edelim” diyerek kargoyu bina kapısında bırakmak istedi. Apartmanda asansör olmasına rağmen hiçbir çözüm sunulmadı, kargo tekrar alınarak geri götürüldü. Üstelik sistemde “alıcı kargoyu kabul etmedi” şeklinde yanlış bir bilgi girilmiş.Benzer bir durumu daha önce de yaşadık ve o zaman da iş yerimden izin alıp şubeye giderek kargoyu kendim almak zorunda kalmıştım. Bu yaklaşım yaşlı ve hareket kısıtlılığı olan insanlar için büyük mağduriyet yaratıyor.Müşteri hizmetleriyle iletişime geçip şikayet kaydı oluşturdum fakat henüz bir dönüş yapılmadı. Talebimiz, kargonun tekrar dağıtıma çıkarılıp asansörle yukarı gönderilmesi ve ödemeyi de bu şekilde yapabilmemizdir. Annemin aşağı inme imkanı yok, ben de çalıştığım için evde olamıyorum. Bu konuda anlayış ve çözüm bekliyoruz.",https://www.sikayetvar.com/aras-kargo/yasli-ve-engelli-musterilere-kargo-teslimatinda-buyuk-magduriyet
Kargo,"Yataş'tan Alınan Yatak Teslim Edilmiyor,Horoz LojistikSürekli Oyalıyor","08/09/2025 tarihinde Yataş internet sitesinden sipariş verdiğim çift kişilik yatağım, 15/09/2025 tarihinde Horoz Lojistik ve Nakliyat şirketine teslim edildi. 18/09/2025 tarihinde ise evime teslim edileceğine dair ilk mesajı aldım. 19 Eylül’de aradığımda 20 Eylül Cumartesi günü teslim edileceği söylendi. Ancak belirtilen tarihlerde teslimat gerçekleşmedi. 21 Eylül Pazar günü tekrar mesaj geldi ve hedeflenen tarihte teslim edemedikleri için özür dileyip en kısa sürede teslim edileceği bildirildi. 26 Eylül Cuma günü de gün içinde teslim edileceğine dair mesaj aldım. O gün saat 17.00’de aradığımda müşteri temsilcisi saat 19.00’a kadar mutlaka teslim edileceğini söyledi. Fakat bugün, 01.10.2025 itibarıyla hâlâ kargom teslim edilmedi.Bu süreçte iki kez Horoz Lojistik müşteri hizmetlerini aradım, ayrıca 01.10.2025 saat 12.20’de Horoz Lojistik’ten bir beyefendi arayarak ilgileneceğini söyledi ancak gün boyunca geri dönüş olmadı. Daha önce de benzer teslimat sorunları yaşadım; hatta bir seferinde kargom yanlış adrese yönlendirilmişti. Siparişin toplam tutarı 17.000 TL olup, ödemeyi online olarak sipariş sırasında gerçekleştirdim. Teslimat adresim Manisa/Yunusemre’dedir.Yataş’ın garantili olarak sattığı ürünü Horoz Lojistik aracılığıyla hâlâ teslim alamadım. Acil olarak ürünümün tarafıma teslim edilmesini talep ediyorum.",https://www.sikayetvar.com/horoz-lojistik/yatastan-alinan-yatak-teslim-edilmiyor-horoz-lojistik-surekli-oyaliyor
Kargo,"Çekiliş Sonrası Ürün Gönderilmedi, İletişim Kurulamıyor","Yavuzcell üzerinden düzenlenen ardenyapiinsaat sponsorlu çekilişten iPhone 16 Pro Max 256 GB kazandığım bildirildi. Bana verilen çekiliş kodunu siteden sorguladım ve kazandığım doğrulandı. Ürünü teslim almak için 376 TL ödeme yapmam gerektiği belirtildi ve ödemeyi EFT yoluyla “Yavuzlar Nakliyat Ltd. Şti.” adına, IBAN: TR78 0001 00***752 7750 10 üzerinden gerçekleştirdim.Ödeme sonrası canlı destek hattı ile görüştüm ve cihazımın 1-3 iş günü içinde kargoya verileceği söylendi. Ancak bu görüşmeden sonra ne adresim istendi ne de herhangi bir kargo takip numarası paylaşıldı. Ürünün gönderimiyle ilgili hiçbir bilgilendirme yapılmadı ve tekrar iletişime geçmeye çalıştığımda hiçbir şekilde geri dönüş alamadım. Şu anda ödemenin üzerinden 2 saat geçmiş durumda.Yetkili birinden konuyla ilgili resmi bir açıklama ve ürünün gönderilmesini talep ediyorum. Aksi takdirde, gönderdiğim IBAN’a Ziraat Bankası nezdinde tedbir ve bloke konulması için başsavcılığa başvuracağımı belirtmek isterim.",https://www.sikayetvar.com/instagram-cekilis-dolandiriciligi/cekilis-sonrasi-urun-gonderilmedi-iletisim-kurulamiyor
Kargo,"Siparişimde Eksik Ve Yanlış Ürün Gönderildi, Mağduriyetim Giderilmiyor","26 Eylül Cuma günü Hepsiburada üzerinden verdiğim 464 594 046 4 numaralı siparişim bugün Gaziantep/Nizip adresine teslim edildi. Ancak siparişimde ciddi sorunlar yaşadım. Siparişimde yer alan dönen kuru bakliyat ve kuru gıda organizeri hiç gönderilmedi. Ayrıca, emaye kızartma tenceresi ise fotoğraftaki üründen tamamen farklı ve kalitesiz bir ürün olarak gönderildi.Eksik ürün için talep oluşturuldu ve ekip inceleme başlatacağı söylendi, ancak gelmeyen ürünün nasıl inceleneceğini anlamış değilim. Yanlış gelen ürün için ise değişim talebi oluşturuldu. Kargo teslimatı sırasında herhangi bir tutanak tutulmadı, çünkü ben evde yoktum ve kargo eşime teslim edilmiş.Toplamda 1376 TL’lik bir alışveriş yaptım ve hem eksik hem de yanlış ürün gönderilmesi nedeniyle mağdur oldum. Eksik gönderilen ürünün ücret iadesini talep ediyorum. Yanlış gelen ürün için ise mağduriyetimin giderilmesi adına bir telafi bekliyorum. Hatta ücret iadesi yapılıp ürün hediye edilmeli. Aynımağazaiki hata ve beklemem gereken bir süreç bir telafisi olmalı diye düşünüyorum. Aldığım ürünü ve gelen ürünün görselini paylaşıyorum. Takdiri sizlere bırakıyorum",https://www.sikayetvar.com/hepsiburada/siparisimde-eksik-ve-yanlis-urun-gonderildi-magduriyetim-giderilmiyor
Kargo,Kırık Teslim Edilen İçecek Dolabı İçin Ücret İadesi Yapılmıyor,"2 Eylül 2025 tarihinde Şok market ’ten cam kapaklı bir içecek dolabı satın aldım. Ürün Horoz Nakliyat ile tarafıma gönderildi. İlk teslimat denemesinde evde olmadığım için kargo komşuma teslim edilmeye çalışılmış, ancak kutudan kırık cam parçaları döküldüğünü gören komşum ürünü teslim almamış. Birkaç gün sonra tekrar getirdiklerinde kutunun darbeli olduğunu gördüm ve açıp kontrol etmek istedim, fakat görevli buna izin vermedi. Kargo görevlileri gittikten sonra kutuyu açtığımda dolabın cam kapağının tamamen kırık olduğunu fark ettim ve hemen iade işlemini başlattım.İade paketlemesini yapıp teslim ettim, 17 Eylül’de ürün Horoz Nakliyat tarafından alındı. O tarihten bu yana ne Horoz Nakliyat’tan ne de Şok market ’ten bir dönüş alabildim. Defalarca aramama ve WhatsApp hattından yazmama rağmen hiçbir yanıt alamadım. Kargo takipte ürün günlerdir depoda görünüyor. Ürünü satın alırken 9.999 TL ödeme yaptım; şu an hem ürünüm yok hem de param iade edilmedi.Kargo açılışının videosu elimde mevcut. Konuyla ilgili Şok market ile de defalarca görüştüm, fakat onlar da yardımcı olmadı. Bir an önce ücret iadesinin yapılmasını talep ediyorum.",https://www.sikayetvar.com/horoz-lojistik/kirik-teslim-edilen-icecek-dolabi-icin-ucret-iadesi-yapilmiyor
Kargo,A101Kapıda Uygulamasında Kargo Ücreti Haksız Yansıtıldı Ve İade Edilmedi,"09.09.2025 tarihinde İstanbul’da A101 Kapıda uygulamasından market alışverişi yaptım. Daha önce 750 TL olan kargo ücretsiz sınırının 1000 TL’ye çıktığını fark ettim ve alışverişimi 1000 TL’ye tamamladım. Sepetin en altında “kargo sıfırlandı” ibaresini görünce alışverişimi tamamlayıp onayladım. Ancak sonrasında bir ürün stokta yok denilerek iptal edildi ve bana kargo ücreti yansıtıldı.Müşteri hizmetlerini aradığımda, “Sepet toplamınız poşet ve nakliyat hariç 1000 TL üzeri olmalıydı” şeklinde bir açıklama yapıldı. Ancak ben tek tek ürünleri ayırıp hesaplama şansım yok, uygulamada en altta gördüğüm toplam tutarı baz alarak alışveriş yaptım ve kargo ücreti sıfır olarak görünüyordu. Buna rağmen kargo ücreti iadesi talebim kabul edilmedi.Ödememi kredi kartı ile ve toplam 1.172,98 TL olarak yaptım. Yaşadığım bu mağduriyetin giderilmesini ve kargo ücretinin tarafıma iade edilmesini talep ediyorum. Aksi halde A101 Kapıda uygulamasından alışveriş yapmayı düşünmüyorum. Sipariş numaram: 9125090936369735.",https://www.sikayetvar.com/a101/a101-kapida-uygulamasinda-kargo-ucreti-haksiz-yansitildi-ve-iade-edilmedi
Kargo,"Satın Aldığım Klimam 7 Gündür Teslim Edilmiyor, Çözüm Sunulmuyor!","29.08.2025 tarihinde Teknosa’dan Gree Aphro duvar tipiklima(18K) satın aldım ve ödemesini gerçekleştirdim. Sipariş numaram: 2025 329014814, fatura numaram: FMT202500002086. İki ürün sipariş ettim; biri 1 Eylül’de teslim edildi ancak klimanın teslimatı hâlâ yapılmadı.Defalarcamüşteri hizmetlerini aradım, mağazaya gittim ve kargo firması Horoz Nakliyat ileiletişime geçtim. Tarafıma bir kargo takip numarası verildi ancak Horoz Nakliyat böyle bir teslimatın olmadığını belirtti. Adreste herhangi bir sorun bulunmuyor. 7 gündür ürünümün teslim edilmesini bekliyorum ve hiçbir şekilde çözüm sunulmadı, tarafıma dönüş yapılmadı.Acil olarak ürünümün teslim edilmesini talep ediyorum.",https://www.sikayetvar.com/teknosa/satin-aldigim-klimam-7-gundur-teslim-edilmiyor-cozum-sunulmuyor
Kargo,Kamil KoçKazandığım Çekiliş Biletim 2 Yıldır Teslim Edilmedi Mağdur Oldum!,"2023 Ekim ayında Kamil Koç’un Instagram hesabında düzenlenen çekilişten tek yön hediye bilet kazandım. Kazanan olarak @t*** kullanıcı adıyla, Tarkan ö*** ismiyle başvuru yaptım ve istenen tüm bilgi ve belgeleri ilettim. Ancak aradan 2 yıl geçmesine rağmen biletim tarafıma verilmedi.Müşteri hizmetleriyle ilk iletişime geçtiğimde, biletin verileceği söylendi ve tarihleri belirleyip aramam istendi. Defalarcatelefonla ve Instagram üzerinden mesajla iletişime geçtim, ancak her seferinde ya cevap alamadım ya da net bir çözüm sunulmadı.Müşteri hizmetleri, Instagram ekibinin yardımcı olacağını belirtti fakat oradan da herhangi bir dönüş alamadım. Aylardır yazıyorum, hâlâ cevap verilmiyor, mesajıma bakmıyorlar bile.Bu süreçte biletimi kullanamadığım için başka şehirdeki hastane randevuma gidemeyip mağdur oldum. Çünkü bu bilete güvenip plan yapmıştım. Ayrıca 4 ay önce CİMER’e de başvurdum ve başvurum sonucunda tarafıma aşağıdaki resmi cevap iletildi:""T. C. Cumhurbaşkanlığı İletişim Merkezi (CİMER) ’ne yapmış olduğunuz 25012*** sayılı başvurunuz 19.08.2025 tarihinde cevaplanmıştır.*Cevap Metni:03.04.2025 tarih ve 25012*** Cumhurbaşkanlığı İletişim Merkezi (CİMER) başvuruya ait şikayet dilekçesine istinaden, taşımacı Kamil Koç Otobüsleri Anonim Şirketi firmasından yazılı savunma istenilmiştir. Firmanın cevabi yazısının incelenmesi sonucunda; 4925 sayılı Karayolu Taşıma Kanunu'nun ""Ücret ve zaman tarifeleri"" başlıklı 11. Maddesinin 1. Fıkrasında açıklanan; ""Düzenli yolcu ve eşya taşımaları, nakliyat ambarı ve kargo işletmeciliği ücret tarifeleri, yetki belgesi sahiplerince geçerlilik süresi de belirtilmek suretiyle hazırlanır ve Bakanlığa bildirilir."" hükmüne aykırı hareket ettiği tespit edilmiştir.Bu nedenle; söz konusu firmaya Kanunun ""idari para cezaları"" başlıklı 26. Maddesinin (g) bendi gereğince 8.173,00 TL idari para cezası uygulanması hususunda;Bilgilerinize sunulur.""Kazandığım biletin tarafıma teslim edilmesini, yaşanan mağduriyet için özür dilenmesini ve özellikle neden bu kadar uzun süredir cevap verilmediğine dair açıklama yapılmasını talep ediyorum. CİMER cevabından sonra hâlâ iletişime geçilmezse daha da bir şey demiyorum. Yanıltıldığımı düşünüyorum. Bunun için savcılığa da suç duyurusunda bulunacağımı belirtmek isterim.",https://www.sikayetvar.com/kamil-koc/kamil-koc-kazandigim-cekilis-biletim-2-yildir-teslim-edilmedi-magdur-oldum
Kargo,"Eksik Ve Hasarlı Eşya Teslimatı, Mağduriyet Yaşıyorum","26 Haziran'da Manisa Turgutlu'da Yeni Yuvam Nakliyat ile evimi taşıttım. Eşyalarım çizilmiş ve üç parça eşyam eksik teslim edildi. Eksik parçalar nedeniyle TV ünitesi ve yemek masası kurulamadı. Eksik parçaları kargo ile göndereceğini söyledi ancak karşı ödemeli olarak gönderdi ve fazladan ücret talep etti. Eşyalarımın kurulumu yapılmadığı gibi, eksik malzemeleri de karşı ödemeli göndermesini kabul etmedim. Bu durumdan dolayı mağdur oldum ve şikayetçiyim.",https://www.sikayetvar.com/yeni-yuvam-nakliyat/eksik-ve-hasarli-esya-teslimati-magduriyet-yasiyorum
Kargo,Taşıma Sırasında Kapı Camı Kırıldı Müşteri Hizmetleri Çözüm Sunmuyor,"08 Ağustos 2024 tarihinde İstanbul Küçükçekmece’de Bosch bulaşık makinesi taşıması için Horoz Lojistik Kargo Hizmetleri’nden beyaz eşya taşıma hizmeti aldım. Taşıma sırasında ekip, apartmanımızın dış kapı camını kırdı ve herhangi bir bilgi vermeden teslimatı tamamlayıp ayrıldı. Camın yenilenmesi için 1.500₺ tutarında sipariş verdik, henüz takılmadı.Olaydan sonra Horoz Nakliyat müşteri hizmetleri çağrı merkezini aradım, ancak müşteri temsilcisine bir türlü bağlanamadım. Elimde kırılan camın fotoğrafı ve sevk irsaliyesi (İrsaliye No: his 2025000127536, İrsaliye Tarihi: 07-08-2025, Sipariş No: 823383102) mevcut.İlk defa böyle bir sorun yaşadım. Camın değişim masrafının tarafıma ödenmesini talep ediyorum.",https://www.sikayetvar.com/horoz-lojistik/tasima-sirasinda-kapi-cami-kirildi-musteri-hizmetleri-cozum-sunmuyor
